filename,width,height,class,xmin,ymin,xmax,ymax
D:/university/datasets/Potholes/images/588.jpg,621,349,pothole,297,201,460,293
D:/university/datasets/Potholes/images/588.jpg,621,349,pothole,491,147,621,193
D:/university/datasets/Potholes/images/588.jpg,621,349,pothole,548,206,618,236
D:/university/datasets/Potholes/images/588.jpg,621,349,pothole,509,238,571,256
D:/university/datasets/Potholes/images/500.jpg,690,920,pothole,140,288,572,730
D:/university/datasets/Potholes/images/534.jpg,810,540,pothole,68,278,810,536
D:/university/datasets/Potholes/images/597.jpg,301,445,pothole,4,149,156,242
D:/university/datasets/Potholes/images/108.jpg,3200,1680,pothole,581,1111,2818,1598
D:/university/datasets/Potholes/images/108.jpg,3200,1680,pothole,878,833,2237,1041
D:/university/datasets/Potholes/images/108.jpg,3200,1680,pothole,614,625,1572,710
D:/university/datasets/Potholes/images/108.jpg,3200,1680,pothole,1279,427,1642,479
D:/university/datasets/Potholes/images/108.jpg,3200,1680,pothole,1204,333,1567,370
D:/university/datasets/Potholes/images/212.jpg,720,405,pothole,424,94,528,112
D:/university/datasets/Potholes/images/212.jpg,720,405,pothole,439,183,594,267
D:/university/datasets/Potholes/images/212.jpg,720,405,pothole,450,364,525,405
D:/university/datasets/Potholes/images/212.jpg,720,405,pothole,1,188,264,356
D:/university/datasets/Potholes/images/212.jpg,720,405,pothole,217,119,269,140
D:/university/datasets/Potholes/images/212.jpg,720,405,pothole,285,118,381,162
D:/university/datasets/Potholes/images/212.jpg,720,405,pothole,349,127,563,182
D:/university/datasets/Potholes/images/212.jpg,720,405,pothole,479,68,565,82
D:/university/datasets/Potholes/images/212.jpg,720,405,pothole,239,61,391,104
D:/university/datasets/Potholes/images/212.jpg,720,405,pothole,355,33,483,61
D:/university/datasets/Potholes/images/3.jpg,630,471,pothole,23,141,630,432
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,327,280,418,310
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,417,196,480,245
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,428,101,479,125
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,359,140,431,174
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,346,210,376,224
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,395,84,420,91
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,423,9,439,17
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,489,70,505,77
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,506,112,521,121
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,504,96,520,106
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,520,173,547,198
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,527,209,557,233
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,554,296,599,353
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,586,374,641,443
D:/university/datasets/Potholes/images/127.jpg,780,520,pothole,406,69,431,78
D:/university/datasets/Potholes/images/558.jpg,300,400,pothole,82,133,177,158
D:/university/datasets/Potholes/images/558.jpg,300,400,pothole,86,214,240,307
D:/university/datasets/Potholes/images/558.jpg,300,400,pothole,215,325,299,390
D:/university/datasets/Potholes/images/558.jpg,300,400,pothole,6,209,300,400
D:/university/datasets/Potholes/images/558.jpg,300,400,pothole,102,120,141,128
D:/university/datasets/Potholes/images/558.jpg,300,400,pothole,111,87,144,95
D:/university/datasets/Potholes/images/257.jpg,400,266,pothole,241,21,386,45
D:/university/datasets/Potholes/images/257.jpg,400,266,pothole,316,68,385,82
D:/university/datasets/Potholes/images/257.jpg,400,266,pothole,257,104,400,221
D:/university/datasets/Potholes/images/257.jpg,400,266,pothole,2,105,139,248
D:/university/datasets/Potholes/images/257.jpg,400,266,pothole,114,66,184,97
D:/university/datasets/Potholes/images/257.jpg,400,266,pothole,129,114,195,142
D:/university/datasets/Potholes/images/257.jpg,400,266,pothole,0,49,101,63
D:/university/datasets/Potholes/images/257.jpg,400,266,pothole,203,37,242,51
D:/university/datasets/Potholes/images/568.jpg,640,360,pothole,236,180,379,212
D:/university/datasets/Potholes/images/568.jpg,640,360,pothole,349,153,383,164
D:/university/datasets/Potholes/images/568.jpg,640,360,pothole,314,140,340,156
D:/university/datasets/Potholes/images/568.jpg,640,360,pothole,29,151,76,164
D:/university/datasets/Potholes/images/69.jpg,780,439,pothole,525,300,751,424
D:/university/datasets/Potholes/images/69.jpg,780,439,pothole,638,85,780,130
D:/university/datasets/Potholes/images/69.jpg,780,439,pothole,436,188,591,234
D:/university/datasets/Potholes/images/69.jpg,780,439,pothole,139,236,400,351
D:/university/datasets/Potholes/images/69.jpg,780,439,pothole,273,134,411,186
D:/university/datasets/Potholes/images/69.jpg,780,439,pothole,352,62,529,108
